ac07_id,num_cells,total_light1994,total_light_cal1994,max_light1994,total_light1995,total_light_cal1995,max_light1995,total_light1996,total_light_cal1996,max_light1996,total_light1997,total_light_cal1997,max_light1997,total_light1998,total_light_cal1998,max_light1998,total_light1999,total_light_cal1999,max_light1999,total_light2000,total_light_cal2000,max_light2000,total_light2001,total_light_cal2001,max_light2001,total_light2002,total_light_cal2002,max_light2002,total_light2003,total_light_cal2003,max_light2003,total_light2004,total_light_cal2004,max_light2004,total_light2005,total_light_cal2005,max_light2005,total_light2006,total_light_cal2006,max_light2006,total_light2007,total_light_cal2007,max_light2007,total_light2008,total_light_cal2008,max_light2008,total_light2009,total_light_cal2009,max_light2009,total_light2010,total_light_cal2010,max_light2010,total_light2011,total_light_cal2011,max_light2011,total_light2012,total_light_cal2012,max_light2012,total_light2013,total_light_cal2013,max_light2013
"2007-01-001",14225,0,0,0,37,45,5,42,53,6,18.5,22.5,5,49.5,60,6,28,35,5.5,104,7230.5,7.5,64,71,7.5,172,7301.5,6.5,176,7361,6.5,237,7413,6.5,206,7391.5,5,158,7312,5.5,251,14507.5,6.5,287,14512,9,237,14468,10,480,28723,12,513,28833,14,378,28686,9,489,28763,18
"2007-01-002",328,0,0,0,0,0,0,24,30,6,20,27,5.5,104,136,9.5,43,56.5,5.5,67.5,239.5,5.5,50,57,5.5,68,234.5,5.5,72,264,5.5,80,268.5,5,153,371.5,5.5,146,342.5,6.5,223.5,561,7.5,201,529,8,72,400,7,543,966,11,283,870,9,654,1070,14,675,1081,15
"2007-01-003",1454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,727,0,8,6,2,0,727,0,0,727,0,11,742,3,28.5,765,3,75,822,3.5,180.5,1648,4,134,1588,5,32,1486,4,164,3000,7,200,3060,6,285,3086,8,295,3089,8
"2007-01-004",83,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2.5,0,0,0,0,41.5,0,3.5,4.5,2,0,41.5,0,7.5,53.5,3,0,41.5,0,53.5,115,3.5,48.5,102.5,3.5,98,190,4,72,155,5,42,125,5,201,278,9,89,234,6,223,302,8,181,278,7
"2007-01-005",68,0,0,0,0,0,0,0,0,0,68.5,92,5,127,152.5,5.5,12.5,12.5,2.5,78,120,5,52,60.5,5,36.5,70.5,2.5,87,159,4,107.5,171,4.5,202.5,310,5.5,239,329,5.5,304,385,6.5,271,339,7,351,419,7,598,485,13,457,465,11,551,492,12,557,502,14
"2007-01-006",235,1653.5,2068,23,1383,1693,19,2055,2617,30,2430,3397.5,36.5,3215.5,4170.5,43.5,2368,2846.5,32,2628,3127,34,2713,3168.5,34,2778,3045.5,32.5,2561,3640.5,34.5,2951,3840,37.5,3089.5,4288,41,3406,4212.5,44.5,4099,4574.5,49.5,4190,4425,51,4094,4584,54,5779,3741,62,5828,4894,62,6201,4499,58,6492,4679,62
"2007-01-007",184,57,68,6,29,35,5,113,141,6,183,248.5,8,311.5,416.5,11,174,211.5,7.5,262.5,379,8,216,236.5,8.5,271,378,9.5,221.5,404.5,7.5,280,449.5,8.5,369.5,589.5,9,409.5,589,9.5,597,783.5,12.5,558,742,13,379,583,12,719,792,20,829,1002,20,1216,1181,28,1103,1101,28
"2007-01-008",87,0,0,0,0,0,0,29,35,5,23,27.5,3,77.5,93,5,14.5,14.5,2.5,115,171,5,102,111,5,116.5,168,5,125.5,219.5,5.5,146,229,6.5,134.5,227,5,134,208,5.5,150.5,245.5,5.5,165,252,6,108,195,6,228,301,9,196,317,7,357,393,9,341,391,9
"2007-01-009",280,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0,0,0,80.5,229.5,4,72.5,76,4.5,74.5,220,5,41.5,201.5,4,73,238,3.5,204,417,3.5,178.5,367,4,321,641,4,211,491,4,249,529,5,818,1004,9,567,972,8,1150,1274,10,983,1174,11
"2007-01-010",648,49.5,65.5,5,80,97,5,197,250,7,191.5,258.5,7.5,505.5,646,10,172.5,215.5,6.5,426.5,799,8.5,368,405,8,441.5,797.5,8.5,522,1064,9,582,1067.5,9,775.5,1379,11.5,752,1247.5,11,1136,1850,13.5,1185,1833,12,835,1504,11,1807,2354,19,1356,2309,15,1952,2585,18,2142,2717,21
